,daa_mean,daa_std,negative_price_hours,rebap_std,rebap_abs_max,renewable_mwh,forecast_mae_mw,forecast_maxerr_mw,rebap_volatility,forecast_error,negative_prices,price_volatility,low_renewables
2025-11-01,47.63104166666667,29.142627086422113,0.0,51.33073134205938,311.2,832.0994310835458,1.8660725514782908,4.053555855746467,True,False,False,True,False
2025-11-02,85.9121875,22.02197014740455,0.0,36.076539256450616,181.64,499.0216243377582,1.5884380040212591,3.9933233313646888,False,False,False,False,False
2025-11-03,78.29458333333334,19.350894354690404,0.0,35.759479188210584,135.25,863.7745207133439,1.5455713838728844,2.950521859142963,False,False,False,False,False
2025-11-04,73.55343749999999,42.19023933891891,0.0,68.15926673076846,527.18,774.8027047886948,2.808503661735493,5.8554896411772965,True,True,False,True,False
2025-11-05,93.42760416666665,26.05380337497098,0.0,34.01234732332816,146.56,660.4251922133792,1.8693692588861222,3.7538949097930114,False,False,False,False,False
2025-11-06,106.21052083333332,23.48880022877001,0.0,31.808632742012545,206.6,469.73591192384066,2.603862481168656,4.380329352915826,False,True,False,False,False
2025-11-07,110.80458333333333,28.437429117738276,0.0,45.19796573696634,316.74,237.0888764880353,2.389618815326324,4.975901669497482,False,False,False,True,True
2025-11-08,106.46479166666666,15.115634288927382,0.0,32.065370290457416,182.44,91.429459038363,1.0580106099560787,2.616923833434443,False,False,False,False,True
2025-11-09,99.0046875,11.089404661012107,0.0,28.84158075010679,175.26,101.32542478945271,0.8620958156737496,1.8934633589778933,False,False,False,False,True
2025-11-10,109.88843750000001,24.671495079009578,0.0,37.8902783535117,295.03,241.52144747636493,0.9949495754590171,3.1142635485699977,False,False,False,False,True
2025-11-11,96.88729166666667,21.277793465213065,0.0,33.97130283629698,250.6,535.8446718447149,1.7992184593789566,3.5202777349439103,False,False,False,False,False
2025-11-12,80.32375,22.543690693942875,0.0,55.090020203284226,324.58,812.1014077690953,2.7426744749817367,7.6413799638298805,True,True,False,False,False
2025-11-13,69.84625,42.56852123953607,0.0,47.3441298131767,240.94,986.9843105461915,2.028635625930733,6.007284108332172,False,False,False,True,False
2025-11-14,106.73312500000002,16.395614969691593,0.0,104.28561876774206,919.49,440.04869889920354,1.5827600418947323,3.547372074013314,True,False,False,False,False
2025-11-15,90.70489583333334,16.904194622119167,0.0,35.33445383550922,159.04,656.9789875996944,2.2768226322846816,4.735820659460316,False,False,False,False,False
2025-11-16,101.43624999999999,12.976797824225871,0.0,27.967634034222886,172.11,286.77045705090177,1.0648729165740223,2.3327232149134662,False,False,False,False,True
2025-11-17,94.71447916666666,17.28930539318259,0.0,37.780991747204624,184.71,556.3777357732163,4.001801239883587,8.799952944165092,False,True,False,False,False
2025-11-18,101.96520833333334,22.374233272671727,0.0,36.29307177350122,172.11,772.4030530970865,3.319713986995911,5.739165003258265,False,True,False,False,False
2025-11-19,102.534375,16.653172171072242,0.0,53.41746862006887,379.05,602.0481206756615,1.732760092407788,3.138948757723721,True,False,False,False,False
2025-11-20,125.98635416666667,30.447950297727747,0.0,42.62812190424689,207.8,452.6245482839062,1.5107854057232324,2.953674799422064,False,False,False,True,False
2025-11-21,146.48218749999998,51.865604293756284,0.0,47.4992090969197,235.9,261.87646318148757,0.91745041922644,2.4674940344293237,False,False,False,True,True
2025-11-22,91.24749999999999,12.374029591581445,0.0,29.62567934933682,211.95,562.7706311368963,2.0599535682337917,4.657016541386019,False,False,False,False,False
2025-11-23,71.42635416666667,7.563189103561581,0.0,45.47930804669104,214.85,873.2431477376235,1.749999499042408,5.721638293775669,False,False,False,False,False
2025-11-24,132.36197916666669,55.99800672828661,0.0,51.90435253530647,229.74,504.04426580830074,1.8714108825601008,5.158400622828633,True,False,False,True,False
2025-11-25,220.5169791666667,106.86272762013999,0.0,51.68990631983901,279.8,122.87272430501245,0.6709850115968351,1.9218777933835218,True,False,False,True,True
2025-11-26,161.5178125,67.16993662227055,0.0,61.39298465274744,309.43,217.1884393324382,0.9329275057836472,2.1619746823185757,True,False,False,True,True
2025-11-27,91.17833333333333,14.614906892355563,0.0,33.33746222719369,135.3,828.5639407086923,4.6942212428810866,7.510010960690199,False,True,False,False,False
2025-11-28,85.04822916666666,19.23832210690811,0.0,30.83188244334102,197.93,786.5739841258469,1.736877101686904,6.763907242660267,False,False,False,False,False
2025-11-29,90.19322916666665,9.900391879322218,0.0,54.8221057808642,528.76,551.5360227961608,1.9189497498918164,4.83922511504484,True,False,False,False,False
2025-11-30,84.1484375,12.308202408025597,0.0,29.270056424298147,158.69,687.9275848954323,2.4709753784596686,4.6773480595638866,False,True,False,False,False
2025-12-01,93.43135416666667,18.180141215748737,0.0,42.05908597462424,229.44,798.677891372951,3.4514350092313215,6.31584770366581,False,True,False,False,False
2025-12-02,100.36999999999999,36.39081775210151,0.0,66.43894027057735,297.53,683.8161066075525,0.8579794104090425,2.403810744503833,True,False,False,True,False
2025-12-03,164.806875,65.01597252971284,0.0,207.6860072354151,1300.58,156.54830004768232,0.5764681023439008,2.0276492393726517,True,False,False,True,True
2025-12-04,124.86104166666667,24.46833887390527,0.0,46.95052328574789,330.94,230.25714609020446,0.8339099828593245,1.5771618022910552,False,False,False,False,True
2025-12-05,133.28635416666665,35.630495983069984,0.0,42.96937157732238,378.64,145.4092438889431,0.7998659990271255,2.9094713463408404,False,False,False,True,True
2025-12-06,79.61416666666668,9.692424089061634,0.0,27.3452413085389,151.85,818.1273365943114,0.9317555894285038,2.793388053289199,False,False,False,False,False
2025-12-07,80.39229166666667,19.61712923267819,0.0,45.576333699396365,165.51,733.0583825845403,2.5871793801139087,7.885132056319293,False,True,False,False,False
2025-12-08,70.63520833333332,34.685063577471844,0.0,59.250370229207654,200.2,1044.483374614866,1.6577274058501077,4.3480090364516855,True,False,False,True,False
2025-12-09,91.57416666666667,18.546071443090643,0.0,42.0114640273607,226.46,690.5042256200909,2.543709393980887,5.712466892198179,False,True,False,False,False
2025-12-10,78.5034375,23.78299365391008,0.0,51.552081450798106,173.68,832.217572083618,2.4577760491538907,6.188215797750825,True,False,False,False,False
2025-12-11,94.45552083333332,14.805492707507778,0.0,39.263462385177164,141.73,694.7637788912716,3.3595655853677577,5.843707019643361,False,True,False,False,False
2025-12-12,113.4434375,19.742910532862012,0.0,30.16502624165479,178.49,249.3865883179072,1.6593118293662397,3.146012051424764,False,False,False,False,True
2025-12-13,95.91864583333334,12.64258087936291,0.0,25.78904353835682,148.83,341.99414068860995,1.2804505371671422,3.5397484070213796,False,False,False,False,True
2025-12-14,86.20822916666668,8.944078929985801,0.0,29.928075685303597,167.66,561.7720176397092,2.0123637385797126,4.487814080794365,False,False,False,False,False
2025-12-15,87.40270833333334,13.469726509779768,0.0,34.98654437718303,175.29,690.0641986917168,1.5135343209168506,5.342115554626012,False,False,False,False,False
2025-12-16,106.74447916666668,26.55611377621732,0.0,41.18216725285263,213.57,467.3318345968153,2.407653223171413,5.197347756566302,False,False,False,False,False
2025-12-17,106.39666666666666,18.989674807788457,0.0,29.19881595341834,183.55,393.65411037397564,1.44600662311111,4.3829412589446015,False,False,False,False,True
2025-12-18,74.22302083333334,23.99778327956354,0.0,42.74301187554181,127.33,998.0977596775479,1.8795740961620055,4.314895132449287,False,False,False,False,False
2025-12-19,70.07041666666667,39.371872280979,0.0,49.00223854268303,152.98,839.0940048990713,1.1282399940546786,3.011028645769912,False,False,False,True,False
2025-12-20,103.05697916666666,13.868837153833987,0.0,27.32016936483491,153.34,231.8363117688908,1.279151981482864,3.969676219438316,False,False,False,False,True
2025-12-21,91.56906249999999,9.678405309214275,0.0,26.8606171849337,148.86,572.0669356776959,1.4333009084453572,3.520215019691726,False,False,False,False,False
2025-12-22,85.55427083333332,12.052558489174928,0.0,61.2473908443703,191.55,753.8968921333908,2.3699580262249347,4.93530144434995,True,False,False,False,False
2025-12-23,74.7309375,9.681279086261988,0.0,52.67592634834072,182.87,982.55206935182,2.1623556819375676,4.859474169054806,True,False,False,False,False
2025-12-24,69.38437499999999,10.93219869739729,0.0,25.624248660860157,121.23,1055.1795669166863,1.4064662789638434,4.0362017761992846,False,False,False,False,False
2025-12-25,69.75135416666666,18.898213629191677,0.0,27.505720159506016,183.59,714.9016756474676,4.2741075179324355,8.31947657975681,False,True,False,False,False
2025-12-26,97.53479166666666,14.221121467378392,0.0,22.47765623762998,158.21,416.5511414841128,1.0931461532627327,2.8617355045228585,False,False,False,False,True
2025-12-27,91.44416666666666,12.327409388116473,0.0,31.872904255041487,132.94,512.387158821897,1.3997370698125904,3.056004221766848,False,False,False,False,False
2025-12-28,92.76677083333334,12.355341160707892,0.0,31.236393070957046,151.5,410.2225477331842,1.0047235372454804,2.260395139558149,False,False,False,False,True
2025-12-29,94.34833333333334,10.6083335624509,0.0,30.724594541217662,156.71,684.951888326788,1.2391324260974859,2.8364951263526805,False,False,False,False,False
2025-12-30,87.75999999999999,14.35927219313941,0.0,53.03428237489783,276.03,635.121737298216,1.2421175387814347,4.175176545429814,True,False,False,False,False
2025-12-31,87.31374999999998,10.245541332086852,0.0,39.134089111100515,165.15,957.5184992968291,5.2804197956530565,10.025865724338544,False,True,False,False,False
2026-01-01,9.754166666666668,15.224030255560523,2.5,45.89284605149911,144.38,1447.133922346034,1.9178287692266773,6.179544342805755,False,False,True,False,False
2026-01-02,54.69041666666667,32.78244957025617,0.0,33.44477749400142,185.29,1346.4031077253521,4.025534663455536,7.941376322469964,False,True,False,True,False
2026-01-03,88.6715625,10.971371109251892,0.0,44.82631264296597,368.6,1016.3071192515922,2.1889009679741522,7.442447286862112,False,False,False,False,False
2026-01-04,94.43583333333333,12.296482954713333,0.0,40.39496079028006,182.64,743.5072275559517,1.3659295243397036,4.506086011846811,False,False,False,False,False
2026-01-05,134.41156249999997,39.26624022639457,0.0,265.792835145231,1431.95,414.7193717189133,1.5013168661875576,4.240773198805233,True,False,False,True,True
2026-01-06,127.42458333333332,23.512041946480437,0.0,174.27180267260673,1325.25,267.4603044332129,1.74865448637821,3.142336391019004,True,False,False,False,True
2026-01-07,99.39666666666666,12.639810921801358,0.0,35.90510348413714,174.55,869.7612891376152,1.417473087309516,4.0810641971538075,False,False,False,False,False
2026-01-08,154.1209375,70.44806009391667,0.0,322.62093527556704,2073.28,477.09097618659814,4.34065203977043,7.27917466875315,True,True,False,True,False
2026-01-09,78.7003125,13.363140805739137,0.0,146.8780057352019,1277.98,1300.4245167158565,2.4432351882624634,6.9322375575763004,True,False,False,False,False
2026-01-10,97.55666666666666,23.874174796675636,0.0,36.488586599646894,173.66,706.5152985580571,3.8392126604068486,6.762003966636534,False,True,False,False,False
2026-01-11,95.77593750000001,10.254920828774207,0.0,21.10162671043133,166.63,428.46046580985535,1.2359335019976827,2.820245723052601,False,False,False,False,False
2026-01-12,104.34937500000001,21.233126477889254,0.0,65.7580827057403,412.44,631.7997972424316,4.626255161848902,7.770077766545942,True,True,False,False,False
2026-01-13,105.70843749999999,19.370490030376804,0.0,40.06002189951778,241.78,630.8229668794422,2.315607522987644,4.015460930521726,False,False,False,False,False
2026-01-14,118.13895833333333,33.06856716478047,0.0,45.95245989391263,262.52,670.0759239140364,0.9951835697902002,2.9168809982484234,False,False,False,True,False
2026-01-15,101.46479166666666,16.391182714799154,0.0,34.607263248058196,192.07,732.0097327830695,2.9858438966865406,4.524188796709172,False,True,False,False,False
2026-01-16,109.72833333333331,31.19243296547346,0.0,38.181894730919986,195.49,738.9940969817221,0.8337667799906798,3.2760608449236344,False,False,False,True,False
2026-01-17,112.2578125,15.157099835495481,0.0,26.458645325424303,184.99,422.25325690378816,1.7468563180538155,4.009321395774052,False,False,False,False,False
2026-01-18,109.37260416666665,12.540071208994362,0.0,32.07849186126611,202.0,563.4333037866766,2.6774927168367277,4.514251371128566,False,True,False,False,False
2026-01-19,139.99479166666666,35.71839573254372,0.0,39.230716587228976,209.35,605.9431523260864,1.756187202481091,3.611129628560917,False,False,False,True,False
2026-01-20,156.17010416666668,60.3759067650125,0.0,84.31229529564969,723.61,400.32943526276034,2.5019220705969123,4.859760538638378,True,True,False,True,True
2026-01-21,116.99697916666666,23.33708672727238,0.0,35.01219215332725,231.49,560.5353915015562,3.4426236572260223,6.5377487467248265,False,True,False,False,False
2026-01-22,105.28072916666666,17.150783646138425,0.0,43.02585858248482,200.94,651.8051777379487,0.9829153825743203,2.517705096507431,False,False,False,False,False
2026-01-23,110.29312499999999,17.780388031978053,0.0,36.22320495262575,185.33,740.5534848360937,1.187319529003411,3.9167633493817817,False,False,False,False,False
2026-01-24,111.95552083333332,14.712265494434657,0.0,31.327646486197285,175.62,458.3245102652823,2.0232378050642303,3.6541948170754814,False,False,False,False,False
2026-01-25,111.92833333333333,11.218031306289394,0.0,41.62734492425271,220.13,400.4945602176963,1.8121660567820925,5.356293130602809,False,False,False,False,True
2026-01-26,141.3096875,32.194161817178546,0.0,47.4779568944849,228.61,383.89341073175655,4.567422266259052,5.873196216951165,False,True,False,True,True
2026-01-27,130.60614583333333,20.64213199430716,0.0,43.430852547783864,279.48,376.2507562678486,1.0219407880780405,3.126011899006354,False,False,False,False,True
2026-01-28,136.82791666666665,26.565354706077656,0.0,46.519082959751394,264.9,524.9812883475449,1.5249710272712294,2.351809759511326,False,False,False,True,False
2026-01-29,132.40229166666668,24.738659795919904,0.0,75.06784542414456,452.63,442.34979029319584,2.266475157638878,3.803917218444532,True,False,False,False,False
2026-01-30,113.68802083333333,15.219207205301442,0.0,43.42291303322743,246.47,545.2140636384349,4.945125181066384,6.66798860346487,False,True,False,False,False
2026-01-31,109.38927083333333,14.046735552314257,0.0,30.288221552823128,194.08,646.7032527159545,1.8680939658538194,3.7476665979303156,False,False,False,False,False
