candidate,fold,fold_start,fold_end,mean,median
baseline_do_nothing,0,2025-11-01,2025-11-16,41219.127187772356,45844.30191727544
baseline_milp_info,0,2025-11-01,2025-11-16,45048.82523979481,48957.38145065546
baseline_rule_based,0,2025-11-01,2025-11-16,43903.63918074186,46763.8931427998
ckpt_seed0_050k,0,2025-11-01,2025-11-16,43321.409002587694,46106.42604949401
ckpt_seed0_100k,0,2025-11-01,2025-11-16,41875.45609793056,42097.82320972427
ckpt_seed0_150k,0,2025-11-01,2025-11-16,43149.78669763627,44713.69620376386
ckpt_seed0_200k,0,2025-11-01,2025-11-16,44776.72572754076,48927.0777887392
ckpt_seed0_250k,0,2025-11-01,2025-11-16,42938.66282835067,49294.00310839788
ckpt_seed0_300k,0,2025-11-01,2025-11-16,42031.101132458396,41621.14043962315
ckpt_seed0_best,0,2025-11-01,2025-11-16,44776.72572754076,48927.0777887392
ckpt_seed1_050k,0,2025-11-01,2025-11-16,42368.737046458074,44805.06408620205
ckpt_seed1_100k,0,2025-11-01,2025-11-16,40484.87945119302,41021.6615326977
ckpt_seed1_150k,0,2025-11-01,2025-11-16,41888.38300482535,40991.36579648945
ckpt_seed1_200k,0,2025-11-01,2025-11-16,42510.88039991461,43750.47975118096
ckpt_seed1_250k,0,2025-11-01,2025-11-16,42266.819149008596,41838.924055962874
ckpt_seed1_300k,0,2025-11-01,2025-11-16,41303.5507535934,41321.99235423773
ckpt_seed1_best,0,2025-11-01,2025-11-16,42510.88039991461,43750.47975118096
ckpt_seed2_050k,0,2025-11-01,2025-11-16,43922.33810725737,47286.71160940171
ckpt_seed2_100k,0,2025-11-01,2025-11-16,43699.54859735833,46174.99225827925
ckpt_seed2_150k,0,2025-11-01,2025-11-16,41789.492533965444,43833.3553547647
ckpt_seed2_200k,0,2025-11-01,2025-11-16,43014.98125251759,44590.26933210458
ckpt_seed2_250k,0,2025-11-01,2025-11-16,43788.67256200648,45208.03729871661
ckpt_seed2_300k,0,2025-11-01,2025-11-16,43472.809483083074,45881.360788630765
ckpt_seed2_best,0,2025-11-01,2025-11-16,43014.98125251759,44590.26933210458
ckpt_seed3_050k,0,2025-11-01,2025-11-16,42924.04929804904,42963.837487396195
ckpt_seed3_100k,0,2025-11-01,2025-11-16,42608.16941421584,43209.79320705473
ckpt_seed3_150k,0,2025-11-01,2025-11-16,42448.13239827518,44767.36488006722
ckpt_seed3_200k,0,2025-11-01,2025-11-16,42470.21463016537,43576.29836970288
ckpt_seed3_250k,0,2025-11-01,2025-11-16,41633.77377184249,43340.22470064931
ckpt_seed3_300k,0,2025-11-01,2025-11-16,42219.31947405229,42389.60763240735
ckpt_seed3_best,0,2025-11-01,2025-11-16,42470.21463016537,43576.29836970288
ckpt_seed4_050k,0,2025-11-01,2025-11-16,43750.508655201644,43574.95780766484
ckpt_seed4_100k,0,2025-11-01,2025-11-16,44451.08791760657,48857.60413222405
ckpt_seed4_150k,0,2025-11-01,2025-11-16,44323.35212008106,44764.78718282386
ckpt_seed4_200k,0,2025-11-01,2025-11-16,43341.75477692251,48004.38204121411
ckpt_seed4_250k,0,2025-11-01,2025-11-16,43153.807257979424,43891.55329720168
ckpt_seed4_300k,0,2025-11-01,2025-11-16,43303.85694105546,43081.75840201176
ckpt_seed4_best,0,2025-11-01,2025-11-16,43341.75477692251,48004.38204121411
baseline_do_nothing,1,2025-11-17,2025-12-02,54518.85027191222,57177.47732732389
baseline_milp_info,1,2025-11-17,2025-12-02,58247.45391062982,60005.908479466605
baseline_rule_based,1,2025-11-17,2025-12-02,57725.167192372486,57209.97374229162
ckpt_seed0_050k,1,2025-11-17,2025-12-02,57662.19528112676,57033.07435647522
ckpt_seed0_100k,1,2025-11-17,2025-12-02,57171.28742952059,55166.03713362735
ckpt_seed0_150k,1,2025-11-17,2025-12-02,57693.56667569387,57847.1882076716
ckpt_seed0_200k,1,2025-11-17,2025-12-02,57246.541033918664,54965.55148276239
ckpt_seed0_250k,1,2025-11-17,2025-12-02,56525.25482147738,56194.854826857045
ckpt_seed0_300k,1,2025-11-17,2025-12-02,57451.4187572036,55891.702745824296
ckpt_seed0_best,1,2025-11-17,2025-12-02,57246.541033918664,54965.55148276239
ckpt_seed1_050k,1,2025-11-17,2025-12-02,57803.166097014415,56148.424728331775
ckpt_seed1_100k,1,2025-11-17,2025-12-02,55595.283291909676,51760.42673871441
ckpt_seed1_150k,1,2025-11-17,2025-12-02,57288.3245822768,54673.2137341005
ckpt_seed1_200k,1,2025-11-17,2025-12-02,57413.680736548195,55389.31782296006
ckpt_seed1_250k,1,2025-11-17,2025-12-02,57556.17024483077,56117.60153341095
ckpt_seed1_300k,1,2025-11-17,2025-12-02,57004.393229215966,54139.154675030935
ckpt_seed1_best,1,2025-11-17,2025-12-02,57413.680736548195,55389.31782296006
ckpt_seed2_050k,1,2025-11-17,2025-12-02,58381.671252776985,55980.47250650354
ckpt_seed2_100k,1,2025-11-17,2025-12-02,57473.42642190826,55709.611902295954
ckpt_seed2_150k,1,2025-11-17,2025-12-02,58083.57427189924,54210.11856850314
ckpt_seed2_200k,1,2025-11-17,2025-12-02,58117.5716078892,54589.26662219503
ckpt_seed2_250k,1,2025-11-17,2025-12-02,58347.007235398225,54586.19172680487
ckpt_seed2_300k,1,2025-11-17,2025-12-02,58990.03404697786,54790.584148336304
ckpt_seed2_best,1,2025-11-17,2025-12-02,58117.5716078892,54589.26662219503
ckpt_seed3_050k,1,2025-11-17,2025-12-02,56987.6766307407,55674.406054121995
ckpt_seed3_100k,1,2025-11-17,2025-12-02,56331.18498083641,52881.86355913317
ckpt_seed3_150k,1,2025-11-17,2025-12-02,56690.55376044762,54536.43726820832
ckpt_seed3_200k,1,2025-11-17,2025-12-02,56530.87087827386,54957.23894227301
ckpt_seed3_250k,1,2025-11-17,2025-12-02,56149.650430372334,54112.689746888514
ckpt_seed3_300k,1,2025-11-17,2025-12-02,56830.89439297919,54701.8228114432
ckpt_seed3_best,1,2025-11-17,2025-12-02,56530.87087827386,54957.23894227301
ckpt_seed4_050k,1,2025-11-17,2025-12-02,56405.205222100114,54186.920194118655
ckpt_seed4_100k,1,2025-11-17,2025-12-02,57561.578565216085,56785.77827501159
ckpt_seed4_150k,1,2025-11-17,2025-12-02,57273.50137776996,54220.465096885746
ckpt_seed4_200k,1,2025-11-17,2025-12-02,56616.72002721274,55620.671584178
ckpt_seed4_250k,1,2025-11-17,2025-12-02,58006.163234488355,54804.44064305733
ckpt_seed4_300k,1,2025-11-17,2025-12-02,57254.244405764046,52954.46627939412
ckpt_seed4_best,1,2025-11-17,2025-12-02,56616.72002721274,55620.671584178
baseline_do_nothing,2,2025-12-03,2025-12-17,45972.131611428944,47113.93606751926
baseline_milp_info,2,2025-12-03,2025-12-17,47745.56706284408,48882.07981368369
baseline_rule_based,2,2025-12-03,2025-12-17,48945.984335843714,49938.11821150161
ckpt_seed0_050k,2,2025-12-03,2025-12-17,47440.45658215094,51642.514407930736
ckpt_seed0_100k,2,2025-12-03,2025-12-17,47133.62905065344,48386.27663346871
ckpt_seed0_150k,2,2025-12-03,2025-12-17,47016.38372673369,48901.18896391793
ckpt_seed0_200k,2,2025-12-03,2025-12-17,43385.73870460954,46907.53800412791
ckpt_seed0_250k,2,2025-12-03,2025-12-17,44956.44013786459,45731.021659640646
ckpt_seed0_300k,2,2025-12-03,2025-12-17,46776.432253180195,49853.87266287756
ckpt_seed0_best,2,2025-12-03,2025-12-17,43385.73870460954,46907.53800412791
ckpt_seed1_050k,2,2025-12-03,2025-12-17,48436.82084685389,48798.244103921454
ckpt_seed1_100k,2,2025-12-03,2025-12-17,48333.245229813176,49426.15741439908
ckpt_seed1_150k,2,2025-12-03,2025-12-17,48892.59762644803,49215.91839993092
ckpt_seed1_200k,2,2025-12-03,2025-12-17,49079.38479414663,51554.19028016947
ckpt_seed1_250k,2,2025-12-03,2025-12-17,48863.18845702459,49932.07786601012
ckpt_seed1_300k,2,2025-12-03,2025-12-17,48557.03130555241,50435.067412369186
ckpt_seed1_best,2,2025-12-03,2025-12-17,49079.38479414663,51554.19028016947
ckpt_seed2_050k,2,2025-12-03,2025-12-17,48352.40441995531,49928.339547632146
ckpt_seed2_100k,2,2025-12-03,2025-12-17,46623.396214569206,47251.69308981139
ckpt_seed2_150k,2,2025-12-03,2025-12-17,48130.97378532882,53613.465777773345
ckpt_seed2_200k,2,2025-12-03,2025-12-17,48225.86043933951,51724.26204589341
ckpt_seed2_250k,2,2025-12-03,2025-12-17,47543.37973237959,49991.48671396392
ckpt_seed2_300k,2,2025-12-03,2025-12-17,48275.9961908923,50348.78534318281
ckpt_seed2_best,2,2025-12-03,2025-12-17,48225.86043933951,51724.26204589341
ckpt_seed3_050k,2,2025-12-03,2025-12-17,47840.69025914868,49588.35833799343
ckpt_seed3_100k,2,2025-12-03,2025-12-17,48452.62028883765,49194.50468887098
ckpt_seed3_150k,2,2025-12-03,2025-12-17,47767.41916294316,50009.50698364118
ckpt_seed3_200k,2,2025-12-03,2025-12-17,47922.0880164911,51107.17194049097
ckpt_seed3_250k,2,2025-12-03,2025-12-17,47551.11704252933,51184.493189129375
ckpt_seed3_300k,2,2025-12-03,2025-12-17,49226.88877003673,51657.51269701784
ckpt_seed3_best,2,2025-12-03,2025-12-17,47922.0880164911,51107.17194049097
ckpt_seed4_050k,2,2025-12-03,2025-12-17,47675.081012475195,49814.329370465144
ckpt_seed4_100k,2,2025-12-03,2025-12-17,46988.19882897731,50100.131214870235
ckpt_seed4_150k,2,2025-12-03,2025-12-17,46905.29420066153,49055.86584344387
ckpt_seed4_200k,2,2025-12-03,2025-12-17,47217.43595952306,49552.532060950914
ckpt_seed4_250k,2,2025-12-03,2025-12-17,46973.539861100755,48267.67818255665
ckpt_seed4_300k,2,2025-12-03,2025-12-17,46496.267054867516,48967.178412872345
ckpt_seed4_best,2,2025-12-03,2025-12-17,47217.43595952306,49552.532060950914
baseline_do_nothing,3,2025-12-18,2026-01-01,51282.8508782234,50507.29805036734
baseline_milp_info,3,2025-12-18,2026-01-01,52674.78013969934,50040.17913089642
baseline_rule_based,3,2025-12-18,2026-01-01,53002.05454862471,49864.43033164193
ckpt_seed0_050k,3,2025-12-18,2026-01-01,54765.71197592476,51504.914101554634
ckpt_seed0_100k,3,2025-12-18,2026-01-01,52809.70679864257,51114.68449852886
ckpt_seed0_150k,3,2025-12-18,2026-01-01,53629.83562882625,50919.06541990552
ckpt_seed0_200k,3,2025-12-18,2026-01-01,51409.99365163043,48168.66686484135
ckpt_seed0_250k,3,2025-12-18,2026-01-01,50892.551019098464,47011.94337716779
ckpt_seed0_300k,3,2025-12-18,2026-01-01,53379.836257452094,52501.200862957354
ckpt_seed0_best,3,2025-12-18,2026-01-01,51409.99365163043,48168.66686484135
ckpt_seed1_050k,3,2025-12-18,2026-01-01,53255.03425978097,52402.081967068574
ckpt_seed1_100k,3,2025-12-18,2026-01-01,51114.798245812104,52336.47623130417
ckpt_seed1_150k,3,2025-12-18,2026-01-01,52280.66680660924,50582.11218870233
ckpt_seed1_200k,3,2025-12-18,2026-01-01,52710.72809526456,51212.6603221712
ckpt_seed1_250k,3,2025-12-18,2026-01-01,53063.50048742617,52426.852903086074
ckpt_seed1_300k,3,2025-12-18,2026-01-01,52494.57627472482,51950.471004427236
ckpt_seed1_best,3,2025-12-18,2026-01-01,52710.72809526456,51212.6603221712
ckpt_seed2_050k,3,2025-12-18,2026-01-01,54483.84215222574,51336.64639492352
ckpt_seed2_100k,3,2025-12-18,2026-01-01,53724.148627864546,50081.135168309134
ckpt_seed2_150k,3,2025-12-18,2026-01-01,52507.67338532551,52147.461328039586
ckpt_seed2_200k,3,2025-12-18,2026-01-01,54584.713721450666,51697.51861399131
ckpt_seed2_250k,3,2025-12-18,2026-01-01,52960.119427209705,51570.354574280245
ckpt_seed2_300k,3,2025-12-18,2026-01-01,53100.27338897583,52045.74350465779
ckpt_seed2_best,3,2025-12-18,2026-01-01,54584.713721450666,51697.51861399131
ckpt_seed3_050k,3,2025-12-18,2026-01-01,54187.9362312839,52759.995561384676
ckpt_seed3_100k,3,2025-12-18,2026-01-01,51855.90708961326,52905.389726901354
ckpt_seed3_150k,3,2025-12-18,2026-01-01,52987.35077775279,51571.511205259005
ckpt_seed3_200k,3,2025-12-18,2026-01-01,53428.218446246,51974.78557904776
ckpt_seed3_250k,3,2025-12-18,2026-01-01,52581.57669348352,52311.99867381732
ckpt_seed3_300k,3,2025-12-18,2026-01-01,53531.25454043392,52705.70662715594
ckpt_seed3_best,3,2025-12-18,2026-01-01,53428.218446246,51974.78557904776
ckpt_seed4_050k,3,2025-12-18,2026-01-01,54109.18437224638,52805.18339414742
ckpt_seed4_100k,3,2025-12-18,2026-01-01,51632.42284171619,51684.54714787876
ckpt_seed4_150k,3,2025-12-18,2026-01-01,52437.43779791265,52576.58681797419
ckpt_seed4_200k,3,2025-12-18,2026-01-01,53130.328178728734,52985.53046602883
ckpt_seed4_250k,3,2025-12-18,2026-01-01,53387.157777565604,50659.74906558341
ckpt_seed4_300k,3,2025-12-18,2026-01-01,53153.13188888956,50913.19841987535
ckpt_seed4_best,3,2025-12-18,2026-01-01,53130.328178728734,52985.53046602883
baseline_do_nothing,4,2026-01-02,2026-01-16,64346.114151930065,64254.18237735025
baseline_milp_info,4,2026-01-02,2026-01-16,65274.95100681779,70053.23076028531
baseline_rule_based,4,2026-01-02,2026-01-16,66562.2458563818,66265.34232485064
ckpt_seed0_050k,4,2026-01-02,2026-01-16,69749.38493447397,68641.914941155
ckpt_seed0_100k,4,2026-01-02,2026-01-16,65560.65900319548,71409.22643758339
ckpt_seed0_150k,4,2026-01-02,2026-01-16,66925.19579730964,72125.26255745423
ckpt_seed0_200k,4,2026-01-02,2026-01-16,70521.38385067425,73539.6572611011
ckpt_seed0_250k,4,2026-01-02,2026-01-16,69421.3809683147,72979.53965406159
ckpt_seed0_300k,4,2026-01-02,2026-01-16,60567.849375634854,66468.52582906024
ckpt_seed0_best,4,2026-01-02,2026-01-16,70521.38385067425,73539.6572611011
ckpt_seed1_050k,4,2026-01-02,2026-01-16,59636.79132872284,67469.29845639778
ckpt_seed1_100k,4,2026-01-02,2026-01-16,64563.60478783165,67589.47410129792
ckpt_seed1_150k,4,2026-01-02,2026-01-16,63115.36887028071,72014.91518237314
ckpt_seed1_200k,4,2026-01-02,2026-01-16,64391.70043107904,66151.59122189633
ckpt_seed1_250k,4,2026-01-02,2026-01-16,64071.592241655904,67666.13583834513
ckpt_seed1_300k,4,2026-01-02,2026-01-16,61638.86963328564,67857.8151807639
ckpt_seed1_best,4,2026-01-02,2026-01-16,64391.70043107904,66151.59122189633
ckpt_seed2_050k,4,2026-01-02,2026-01-16,67735.20614744166,69194.4497460379
ckpt_seed2_100k,4,2026-01-02,2026-01-16,69678.95324689298,68966.61987391349
ckpt_seed2_150k,4,2026-01-02,2026-01-16,72557.45832860253,74771.62630667181
ckpt_seed2_200k,4,2026-01-02,2026-01-16,63649.56094934985,69009.11703614697
ckpt_seed2_250k,4,2026-01-02,2026-01-16,63505.741894610444,68833.00679345563
ckpt_seed2_300k,4,2026-01-02,2026-01-16,66116.59914944004,69198.1500077148
ckpt_seed2_best,4,2026-01-02,2026-01-16,63649.56094934985,69009.11703614697
ckpt_seed3_050k,4,2026-01-02,2026-01-16,67900.77872866782,72566.52843939455
ckpt_seed3_100k,4,2026-01-02,2026-01-16,60378.72617732952,67337.3145587081
ckpt_seed3_150k,4,2026-01-02,2026-01-16,61511.1842353452,67334.73900111488
ckpt_seed3_200k,4,2026-01-02,2026-01-16,63833.71951022287,67726.58462054793
ckpt_seed3_250k,4,2026-01-02,2026-01-16,64828.03948785442,67242.36190475186
ckpt_seed3_300k,4,2026-01-02,2026-01-16,63131.00012053582,67575.94247374509
ckpt_seed3_best,4,2026-01-02,2026-01-16,63833.71951022287,67726.58462054793
ckpt_seed4_050k,4,2026-01-02,2026-01-16,63474.01948857948,72673.6396386554
ckpt_seed4_100k,4,2026-01-02,2026-01-16,63595.50006573684,66862.47140819316
ckpt_seed4_150k,4,2026-01-02,2026-01-16,67606.65107060329,67152.112006723
ckpt_seed4_200k,4,2026-01-02,2026-01-16,65272.90548629151,72426.77750626871
ckpt_seed4_250k,4,2026-01-02,2026-01-16,63727.399412701874,68957.12459753358
ckpt_seed4_300k,4,2026-01-02,2026-01-16,61337.68585116844,66662.7825455967
ckpt_seed4_best,4,2026-01-02,2026-01-16,65272.90548629151,72426.77750626871
baseline_do_nothing,5,2026-01-17,2026-01-31,59666.7058072258,56002.85310353017
baseline_milp_info,5,2026-01-17,2026-01-31,63048.49540851019,62214.03219025994
baseline_rule_based,5,2026-01-17,2026-01-31,63553.71227833497,63216.140692787936
ckpt_seed0_050k,5,2026-01-17,2026-01-31,63558.92187746602,63341.869027609464
ckpt_seed0_100k,5,2026-01-17,2026-01-31,62822.18019531591,64242.4712766882
ckpt_seed0_150k,5,2026-01-17,2026-01-31,63444.55724372204,64248.26524533278
ckpt_seed0_200k,5,2026-01-17,2026-01-31,63599.386604778236,64444.23458326028
ckpt_seed0_250k,5,2026-01-17,2026-01-31,62219.82182585798,62148.34693597683
ckpt_seed0_300k,5,2026-01-17,2026-01-31,62430.84855242226,63135.09240541006
ckpt_seed0_best,5,2026-01-17,2026-01-31,63599.386604778236,64444.23458326028
ckpt_seed1_050k,5,2026-01-17,2026-01-31,63282.80352148676,62911.599595759086
ckpt_seed1_100k,5,2026-01-17,2026-01-31,61337.55903727162,58057.782672420704
ckpt_seed1_150k,5,2026-01-17,2026-01-31,61886.18096191986,58756.14008320232
ckpt_seed1_200k,5,2026-01-17,2026-01-31,63214.88946735188,64449.31201512509
ckpt_seed1_250k,5,2026-01-17,2026-01-31,63278.0972540693,62482.63118115294
ckpt_seed1_300k,5,2026-01-17,2026-01-31,61987.6798343656,60904.15974434763
ckpt_seed1_best,5,2026-01-17,2026-01-31,63214.88946735188,64449.31201512509
ckpt_seed2_050k,5,2026-01-17,2026-01-31,63854.88749985326,63119.235313426194
ckpt_seed2_100k,5,2026-01-17,2026-01-31,63392.13428240071,64038.93925465539
ckpt_seed2_150k,5,2026-01-17,2026-01-31,62335.19262863238,62257.59798191328
ckpt_seed2_200k,5,2026-01-17,2026-01-31,63670.867440427384,63473.44132123082
ckpt_seed2_250k,5,2026-01-17,2026-01-31,63863.08230388935,63888.76465375753
ckpt_seed2_300k,5,2026-01-17,2026-01-31,63485.92001132278,63847.914242625724
ckpt_seed2_best,5,2026-01-17,2026-01-31,63670.867440427384,63473.44132123082
ckpt_seed3_050k,5,2026-01-17,2026-01-31,62225.934875826286,60101.08295348008
ckpt_seed3_100k,5,2026-01-17,2026-01-31,61251.87522839345,58945.29505289462
ckpt_seed3_150k,5,2026-01-17,2026-01-31,62066.010101994914,60498.41693929734
ckpt_seed3_200k,5,2026-01-17,2026-01-31,62283.55757725573,59678.41886548739
ckpt_seed3_250k,5,2026-01-17,2026-01-31,61709.973394181216,58550.811112557596
ckpt_seed3_300k,5,2026-01-17,2026-01-31,62601.26536503251,60654.13553286332
ckpt_seed3_best,5,2026-01-17,2026-01-31,62283.55757725573,59678.41886548739
ckpt_seed4_050k,5,2026-01-17,2026-01-31,61581.94510415407,60537.051933696144
ckpt_seed4_100k,5,2026-01-17,2026-01-31,61689.55407146211,61159.71012629746
ckpt_seed4_150k,5,2026-01-17,2026-01-31,61298.460089109634,58486.184141224876
ckpt_seed4_200k,5,2026-01-17,2026-01-31,61385.06611355872,58141.51262668285
ckpt_seed4_250k,5,2026-01-17,2026-01-31,62957.25799892564,63453.36920951797
ckpt_seed4_300k,5,2026-01-17,2026-01-31,62307.48486752045,60552.36670973813
ckpt_seed4_best,5,2026-01-17,2026-01-31,61385.06611355872,58141.51262668285
